loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2025-02-18T11:34:35.039Z,1,1739878474.999677,53.38746724275762,-1.483812879725524,74.67313,0.1486961,1.475487,299.4091919327665,180,3.369605184634312,4.740284583490152,-9999
2025-02-18T11:34:36.040Z,2,1739878475.999661,53.38746841695154,-1.48380393779511,74.57217,0.1012481,1.357667,299.4091996521424,180,3.370807305724171,4.739429832845445,-9999
2025-02-18T11:34:37.042Z,3,1739878476.999646,53.38747361341727,-1.483791290445285,74.38575,0.1967094,1.586531,299.4092110285872,180,3.370483442043679,4.739660156561674,-9999
2025-02-18T11:34:38.040Z,4,1739878477.999632,53.38748163802786,-1.483768540500634,74.09346,0.2828582,1.675955,299.4092313210018,180,3.370311624165771,4.739782335593262,-9999
2025-02-18T11:34:39.046Z,5,1739878478.999617,53.38748719892416,-1.483735983654286,73.86466,0.2522309,1.749391,299.4092595932835,180,3.369869314264382,4.7400968173201,-9999
2025-02-18T11:34:40.042Z,6,1739878479.999602,53.38749349216941,-1.483703345359498,73.82153,0.2262246,1.717452,299.4092880294176,180,3.370979209019819,4.739307566000011,-9999
2025-02-18T11:34:41.041Z,7,1739878480.999587,53.3874986270914,-1.483679844990189,73.89324,0.2070963,1.695625,299.4093085823692,180,3.370679763792816,4.739520541441554,-9999
2025-02-18T11:34:42.043Z,8,1739878481.999573,53.38750361400949,-1.483652883465156,74.22722,0.2031475,1.670906,299.4093320451791,180,3.370837337959625,4.739408472985432,-9999
2025-02-18T11:34:43.048Z,9,1739878482.999558,53.38750748982301,-1.483629225795468,73.95169,0.1674041,1.523015,299.4093525680624,180,3.372510405869673,4.738218082263586,-9999
2025-02-18T11:34:44.040Z,10,1739878483.999543,53.38751001672833,-1.483604207857122,73.8827,0.2061804,1.656146,299.409374067258,180,3.370955907222621,4.739324140038298,-9999
2025-02-18T11:34:45.043Z,11,1739878484.99953,53.38751219390419,-1.483577187575483,73.56204,0.2166294,1.634743,299.4093972156319,180,3.370367923089642,4.7397423026782,-9999
2025-02-18T11:34:46.039Z,12,1739878485.999516,53.38750970761636,-1.483550121610903,73.20857,0.1642735,1.491631,299.4094197982352,180,3.376773940010717,4.735180544694503,-9999
2025-02-18T11:34:47.040Z,13,1739878486.999501,53.38750291975375,-1.483528882653961,73.57487,0.1343744,1.413899,299.409436892144,180,3.375057358963472,4.73640421168795,-9999
2025-02-18T11:34:48.046Z,14,1739878487.999487,53.38749788952131,-1.483502020263575,73.59885,0.1008491,1.352407,299.4094589727496,180,3.373906198839982,4.737224292158645,-9999
2025-02-18T11:34:49.043Z,15,1739878488.999473,53.38749334172728,-1.483482342100715,73.63832,0.1011795,1.347314,299.4094750361571,180,3.369347590684516,4.740467682195216,-9999
2025-02-18T11:34:50.041Z,16,1739878489.99946,53.38748402160065,-1.48345650662822,73.72941,0.1685961,1.488429,299.4094956917045,180,3.368004441037928,4.741422056507692,-9999
2025-02-18T11:34:51.041Z,17,1739878490.999444,53.38747710718547,-1.483431714785646,73.67386,0.1997588,1.388279,299.4095157758758,180,3.367839294371265,4.741539361861051,-9999
2025-02-18T11:34:52.046Z,18,1739878491.999431,53.38747196206703,-1.48340514401843,73.75795,0.1991174,1.468881,299.4095375948024,180,3.370361166129198,4.739747107455952,-9999
2025-02-18T11:34:53.042Z,19,1739878492.999417,53.38746770308914,-1.48337980628467,73.67663,0.1761415,1.479533,299.4095584851163,180,3.370598840029158,4.739578092233836,-9999
2025-02-18T11:34:54.038Z,20,1739878493.999404,53.38746536977304,-1.4833561882422,73.62547,0.1579875,1.462464,299.4095781697131,180,3.370703486899097,4.739503669815554,-9999
2025-02-18T11:34:55.039Z,21,1739878494.99939,53.38746258331619,-1.483332239973662,73.32864,0.1454519,1.453682,299.4095980750359,180,3.371003970032922,4.73928995386557,-9999
