loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2025-02-18T10:35:59.047Z,1,1739874958.999303,53.38744106297453,-1.483391125933289,74.3845,0,1.131978,255.6252767024975,180,3.36302261294143,4.7449568952345,-9999
2025-02-18T10:36:00.040Z,2,1739874959.999289,53.38744025731705,-1.483395804088859,74.76791,0.05143511,1.381519,255.6252729235914,180,3.362724796912492,4.745167960464484,-9999
2025-02-18T10:36:01.037Z,3,1739874960.999275,53.38745074354204,-1.483414949915208,74.61307,0.8437215,1.472352,291.528020168624,79.7520897739868,3.363437233504452,4.744663002686783,-9999
2025-02-18T10:36:02.040Z,4,1739874961.999261,53.38746145198627,-1.483427834421059,74.31304,1.145787,1.153109,311.6052385550323,43.57496679755351,3.366614869950389,4.742408813063016,-9999
2025-02-18T10:36:03.037Z,5,1739874962.999247,53.3874772666541,-1.483432461405096,74.2891,1.359329,1.119967,331.9154057932917,37.889763425224,3.36856884904477,4.741021086436342,-9999
2025-02-18T10:36:04.039Z,6,1739874963.999233,53.38748220247777,-1.483426582528955,73.58331,0.8628343,1.191797,351.1482308918994,57.94986530834014,3.364562770028968,4.743864922120341,-9999
2025-02-18T10:36:05.042Z,7,1739874964.999219,53.38750188324195,-1.483455246455121,73.58494,1.545905,1.10438,329.8947418704659,32.48047627180276,3.367178338218042,4.742008759104523,-9999
2025-02-18T10:36:06.041Z,8,1739874965.999205,53.38751433761499,-1.483473405842225,73.7286,1.661834,1.134859,324.0708368404657,31.76157279386591,3.367518748294796,4.741767024292936,-9999
2025-02-18T10:36:07.038Z,9,1739874966.99919,53.38752415719498,-1.48349390709227,73.52561,1.709061,1.139557,316.3007324124853,30.60517866993078,3.367436446964289,4.741825472162104,-9999
2025-02-18T10:36:08.043Z,10,1739874967.999177,53.38753436349156,-1.483505277355866,73.91409,1.527647,1.043817,320.3763610352303,32.87641475791329,3.369419100919091,4.740416854576233,-9999
2025-02-18T10:36:09.044Z,11,1739874968.999162,53.38754169305083,-1.483528939628979,73.53255,1.580315,1.147689,311.5566359055076,32.19224712604244,3.370948602547661,4.739329335651913,-9999
2025-02-18T10:36:10.042Z,12,1739874969.999148,53.38755077908765,-1.483543876826027,74.13068,1.471657,1.106134,312.9356705417184,33.74355137619609,3.373338090188064,4.737628854403348,-9999
2025-02-18T10:36:11.037Z,13,1739874970.999135,53.38755774392744,-1.483569092925003,73.88992,1.637445,1.121711,305.4757375342223,29.14063999237241,3.374570098639083,4.736751384879709,-9999
2025-02-18T10:36:12.043Z,14,1739874971.99912,53.38756591052597,-1.48359328661666,73.698,1.755926,1.190761,303.3347728088939,29.03680868479196,3.372594534442436,4.738158201140802,-9999
2025-02-18T10:36:13.037Z,15,1739874972.999106,53.38757112295399,-1.483616055460508,73.49475,1.675885,1.192841,298.0744441768287,29.23879842964437,3.374665268615283,4.73668358216913,-9999
2025-02-18T10:36:14.039Z,16,1739874973.999092,53.38757597610846,-1.483637844060913,73.79218,1.595478,1.172384,295.397896598084,29.05048240895923,3.374431237081491,4.736850309963099,-9999
2025-02-18T10:36:15.041Z,17,1739874974.999078,53.38758118668513,-1.483662277374025,73.74104,1.809036,0.8776396,293.5754619979116,19.89937630058874,3.375599201983745,4.736018059547022,-9999
2025-02-18T10:36:16.044Z,18,1739874975.999063,53.38758631386309,-1.48368648877935,73.96255,1.839172,0.8439558,291.1106418247194,20.23614554510863,3.37724637904231,4.734843601222161,-9999
2025-02-18T10:36:17.037Z,19,1739874976.99905,53.38759233687502,-1.483708197989313,73.72688,1.818573,0.8805916,292.3206007170494,20.98118405602277,3.374849702536666,4.736552176222385,-9999
2025-02-18T10:36:18.045Z,20,1739874977.999035,53.38760003832861,-1.483726401172594,73.559,1.805792,0.7240246,297.5930126271676,20.30499545775028,3.377133302992362,4.734924253523887,-9999
2025-02-18T10:36:19.041Z,21,1739874978.999022,53.38760510593195,-1.483748786394306,73.68099,1.79196,0.9006703,296.0082459174787,20.41522931441371,3.376702859999238,4.735231232797592,-9999
2025-02-18T10:36:20.039Z,22,1739874979.999007,53.38760917769214,-1.48377160405258,74.38041,1.761311,0.9263351,291.5042155334453,21.1069029438349,3.37676131714235,4.735189546347633,-9999
2025-02-18T10:36:21.043Z,23,1739874980.998992,53.38762183791214,-1.483802196460901,73.79491,2.047706,0.8342885,297.9374581589548,20.56486068827986,3.374326362628925,4.736925018538533,-9999
2025-02-18T10:36:22.044Z,24,1739874981.998979,53.38762222144558,-1.483821093204636,73.48491,1.823651,0.9160836,291.7966585171525,21.6709047401147,3.37480189842168,4.736586236858594,-9999
2025-02-18T10:36:23.048Z,25,1739874982.999071,53.38762648049082,-1.483844072327546,73.35349,1.814476,0.9513515,289.8502047839411,21.28233786880296,3.374690698656166,4.736665464352785,-9999
2025-02-18T10:36:24.044Z,26,1739874983.99895,53.3876289803387,-1.483869084591642,73.52474,1.848614,0.900862,285.7072389541836,19.8988483722021,3.374339016775055,4.736916004391296,-9999
2025-02-18T10:36:25.038Z,27,1739874984.998936,53.38763232072624,-1.48389529575476,73.54529,1.873795,0.8746787,284.2259806700354,19.70161952966688,3.373770190114015,4.737321156211269,-9999
