
Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -69 [da:00:00:17:00:4c]
RSSI: -76 [da:00:00:17:00:4c]
RSSI: -68 [da:00:00:26:00:7c]
RSSI: -67 [da:00:00:26:00:7c]
RSSI: -72 [da:00:00:35:00:9c]
RSSI: -78 [da:00:00:43:00:cc]
RSSI: -78 [da:00:00:43:00:cc]
RSSI: -76 [da:00:00:50:00:ec]
RSSI: -83 [da:00:00:50:00:ec]
RSSI: -75 [da:00:00:5f:01:1c]
RSSI: -77 [da:00:00:5f:01:1c]
RSSI: -75 [da:00:00:5f:01:1c]
RSSI: -74 [da:00:00:6e:01:4c]
RSSI: -68 [da:00:00:6e:01:4c]
RSSI: -69 [da:00:00:7a:01:6c]
RSSI: -69 [da:00:00:7a:01:6c]
RSSI: -64 [da:00:00:7a:01:6c]
RSSI: -62 [da:00:00:89:01:9c]
RSSI: -62 [da:00:00:98:01:cc]
RSSI: -62 [da:00:00:98:01:cc]
RSSI: -60 [da:00:00:98:01:cc]
RSSI: -64 [da:00:00:a5:01:ec]
RSSI: -60 [da:00:00:a5:01:ec]
RSSI: -62 [da:00:00:b4:02:1c]
RSSI: -57 [da:00:00:c3:02:4c]
RSSI: -58 [da:00:00:cf:02:6c]
RSSI: -58 [da:00:00:cf:02:6c]
RSSI: -61 [da:00:00:de:02:9c]
RSSI: -58 [da:00:00:de:02:9c]
RSSI: -56 [da:00:00:ed:02:bc]
RSSI: -60 [da:00:00:ed:02:bc]
RSSI: -60 [da:00:00:ed:02:bc]
RSSI: -56 [da:00:00:fa:02:ec]
RSSI: -58 [da:00:01:09:03:1c]
RSSI: -60 [da:00:01:18:03:3c]
RSSI: -58 [da:00:01:18:03:3c]
RSSI: -58 [da:00:01:24:03:6c]
RSSI: -60 [da:00:01:24:03:6c]
RSSI: -59 [da:00:01:33:03:9c]
RSSI: -62 [da:00:01:42:03:cc]
RSSI: -61 [da:00:01:42:03:cc]
RSSI: -61 [da:00:01:42:03:cc]
RSSI: -63 [da:00:01:4f:03:ec]
RSSI: -64 [da:00:01:4f:03:ec]
RSSI: -65 [da:00:01:5e:04:1c]
RSSI: -67 [da:00:01:5e:04:1c]
RSSI: -70 [da:00:01:6d:04:4c]
RSSI: -72 [da:00:01:6d:04:4c]
RSSI: -74 [da:00:01:79:04:6c]
RSSI: -82 [da:00:01:79:04:6c]
RSSI: -81 [da:00:01:79:04:6c]
RSSI: -71 [da:00:01:88:04:9c]
RSSI: -73 [da:00:01:97:04:bc]
RSSI: -72 [da:00:01:97:04:bc]
RSSI: -67 [da:00:01:a4:04:ec]
RSSI: -68 [da:00:01:a4:04:ec]
RSSI: -69 [da:00:01:b3:05:1c]
RSSI: -65 [da:00:01:b3:05:1c]
RSSI: -68 [da:00:01:c2:05:3c]
RSSI: -70 [da:00:01:ce:05:6c]
RSSI: -71 [da:00:01:ce:05:6c]
RSSI: -69 [da:00:01:dd:05:9c]
RSSI: -79 [da:00:01:dd:05:9c]
RSSI: -73 [da:00:01:ec:05:bc]
RSSI: -74 [da:00:01:ec:05:bc]
RSSI: -74 [da:00:01:ec:05:bc]
RSSI: -75 [da:00:01:ec:05:bc]
RSSI: -76 [da:00:01:f9:05:ec]
RSSI: -72 [da:00:02:08:06:1c]
RSSI: -74 [da:00:02:17:06:3c]
RSSI: -73 [da:00:02:23:06:6c]
RSSI: -73 [da:00:02:23:06:6c]
RSSI: -75 [da:00:02:23:06:6c]
RSSI: -76 [da:00:02:23:06:6c]
RSSI: -73 [da:00:02:33:06:9c]
RSSI: -78 [da:00:02:41:06:bc]
RSSI: -78 [da:00:02:4e:06:ec]
RSSI: -73 [da:00:02:5d:07:1c]
RSSI: -73 [da:00:02:5d:07:1c]
RSSI: -76 [da:00:02:5d:07:1c]
RSSI: -77 [da:00:02:6c:07:4c]
RSSI: -72 [da:00:02:6c:07:4c]
RSSI: -77 [da:00:02:79:07:6c]
RSSI: -76 [da:00:02:79:07:6c]
RSSI: -69 [da:00:02:88:07:9c]
RSSI: -72 [da:00:02:97:07:cc]
RSSI: -70 [da:00:02:97:07:cc]
RSSI: -80 [da:00:02:a3:07:ec]
RSSI: -73 [da:00:02:a3:07:ec]
RSSI: -77 [da:00:02:b2:08:1c]
RSSI: -77 [da:00:02:b2:08:1c]
RSSI: -73 [da:00:02:c1:08:3c]
RSSI: -71 [da:00:02:c1:08:3c]
RSSI: -73 [da:00:02:ce:08:6c]
RSSI: -71 [da:00:02:ce:08:6c]
RSSI: -80 [da:00:02:dd:08:9c]
RSSI: -75 [da:00:02:dd:08:9c]
RSSI: -75 [da:00:02:ec:08:bc]
RSSI: -80 [da:00:02:ec:08:bc]
RSSI: -79 [da:00:02:f9:08:ec]
RSSI: -77 [da:00:02:f9:08:ec]
RSSI: -78 [da:00:03:08:09:0c]
RSSI: -75 [da:00:03:08:09:0c]
RSSI: -72 [da:00:03:17:09:3c]
RSSI: -75 [da:00:03:23:09:6c]
RSSI: -72 [da:00:03:23:09:6c]
RSSI: -82 [da:00:03:32:09:8c]
RSSI: -76 [da:00:03:32:09:8c]
RSSI: -86 [da:00:03:41:09:bc]
RSSI: -78 [da:00:03:4e:09:ec]
RSSI: -79 [da:00:03:5d:0a:1c]
RSSI: -78 [da:00:03:5d:0a:1c]
