loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2024-07-26T11:36:09.040+01:00,1,1721990168.999579,53.38823389546131,-1.483389642636721,69.8428,0.06861338,1.009184,-1,-1,3.300889441859817,4.788388656469651,-9999
2024-07-26T11:36:10.038+01:00,2,1721990169.999567,53.38823218190253,-1.483382541784324,69.8532,0.03829554,0.4978409,-1,-1,3.304769310926214,4.785711737489954,-9999
2024-07-26T11:36:11.035+01:00,3,1721990170.999555,53.38823322644674,-1.483378328057675,69.80431,0.09192588,1.178743,-1,-1,3.299239578957181,4.78952557498457,-9999
2024-07-26T11:36:12.037+01:00,4,1721990171.999542,53.38823348651388,-1.483379248837275,69.874,0.06267589,1.104289,-1,-1,3.289890192802298,4.795952413451586,-9999
2024-07-26T11:36:13.035+01:00,5,1721990172.99953,53.38823583504972,-1.483379662010086,69.86911,0.06120039,1.198412,-1,-1,3.287561680301319,4.797548877395957,-9999
2024-07-26T11:36:14.042+01:00,6,1721990173.999518,53.3882346278698,-1.483375612474828,70.14531,0.4570855,1.298875,-1,-1,3.2823529295526,4.801114066406495,-9999
2024-07-26T11:36:15.035+01:00,7,1721990174.999505,53.38823972601747,-1.48337897913257,69.9688,0.2587392,1.430958,-1,-1,3.26273886932789,4.814464882348379,-9999
2024-07-26T11:36:16.039+01:00,8,1721990175.999493,53.3882356395969,-1.483374028419446,70.38425,0,0.7782503,-1,-1,3.26393150383522,4.813656424285057,-9999
2024-07-26T11:36:17.037+01:00,9,1721990176.999481,53.38823647564493,-1.483372783948544,70.38088,0.112287,0.5511065,-1,-1,3.280062936519179,4.802678853021718,-9999
2024-07-26T11:36:18.036+01:00,10,1721990177.999468,53.38823488790267,-1.48337408724702,70.36385,0.2011127,0.7678611,-1,-1,3.297263335406172,4.790886298982162,-9999
2024-07-26T11:36:19.035+01:00,11,1721990178.999456,53.38823567623449,-1.483374919828357,70.57109,0.1573966,0.746208,-1,-1,3.283605005168939,4.80025782670247,-9999
2024-07-26T11:36:20.036+01:00,12,1721990179.999445,53.38823809629656,-1.483372059352344,70.37737,0.07372133,0.6408307,-1,-1,3.281798554741413,4.801493026016597,-9999
2024-07-26T11:36:21.035+01:00,13,1721990180.999433,53.38823829666256,-1.483371190261227,70.35943,0.05438051,0.5020321,-1,-1,3.280224468981137,4.80256852797399,-9999
2024-07-26T11:36:22.039+01:00,14,1721990181.999421,53.38823991094173,-1.483366417005453,70.38865,0,0.726829,-1,-1,3.272694983684894,4.80770262979654,-9999
2024-07-26T11:36:23.038+01:00,15,1721990182.999408,53.3882395410581,-1.48336936559186,70.19513,0.1261358,1.26365,-1,-1,3.26251594606422,4.814615948802721,-9999
2024-07-26T11:36:24.037+01:00,16,1721990183.999396,53.3882349945116,-1.483373585305939,70.19846,0.05315724,1.166,-1,-1,3.2712504161455,4.808685656981202,-9999
2024-07-26T11:36:25.040+01:00,17,1721990184.999384,53.38823118957112,-1.483381316663147,70.21355,0.1428864,1.195573,-1,-1,3.263749396919056,4.813779898053019,-9999
2024-07-26T11:36:26.041+01:00,18,1721990185.999372,53.38822289488525,-1.483393302148421,70.59312,0.1119364,0.9586142,-1,-1,3.281992466478697,4.80136048248472,-9999
2024-07-26T11:36:27.037+01:00,19,1721990186.99936,53.38822782652737,-1.483393950012378,70.44111,0.1323298,1.100347,-1,-1,3.294360969862363,4.79288251817592,-9999
2024-07-26T11:36:28.033+01:00,20,1721990187.999348,53.38822026294287,-1.483394624193736,70.71777,0.09171661,0.6717463,-1,-1,3.303877445401717,4.7863274917785,-9999
2024-07-26T11:36:29.039+01:00,21,1721990188.999336,53.38822285833068,-1.483388543701635,70.59903,0.07590587,1.000532,-1,-1,3.300295821492019,4.788797816094469,-9999
2024-07-26T11:36:30.038+01:00,22,1721990189.999323,53.38822282817355,-1.483388919731302,70.6159,0,0.5212283,-1,-1,3.287647229302058,4.797490253085599,-9999
2024-07-26T11:36:31.038+01:00,23,1721990190.999311,53.38822990328747,-1.483379378365886,70.0986,0.05086944,0.7131621,-1,-1,3.290390622278708,4.795609094328809,-9999
2024-07-26T11:36:32.040+01:00,24,1721990191.999299,53.38823443716056,-1.483384435678228,69.97312,0.13617,1.16608,-1,-1,3.283293568114705,4.800470849652714,-9999
2024-07-26T11:36:33.040+01:00,25,1721990192.999286,53.38823904028176,-1.48338500877719,69.83177,0.07980286,0.4930394,-1,-1,3.286637331224932,4.79818216471483,-9999
2024-07-26T11:36:34.040+01:00,26,1721990193.999274,53.38824292915923,-1.48339148912907,69.68265,0.2320949,1.189375,-1,-1,3.279524647764526,4.803046441321778,-9999
2024-07-26T11:36:35.044+01:00,27,1721990194.999261,53.38824034794591,-1.483394812710537,69.43004,0.125826,0.7393209,-1,-1,3.27455791502311,4.806433968541369,-9999
2024-07-26T11:36:36.037+01:00,28,1721990195.999251,53.38824054529766,-1.483399635169647,69.47543,0.09593418,1.119412,-1,-1,3.274002518741647,4.806812305474615,-9999
2024-07-26T11:36:37.037+01:00,29,1721990196.999238,53.38823687783265,-1.483397147532855,69.62411,0.04266242,1.234147,-1,-1,3.258363643071196,4.817427052099559,-9999
2024-07-26T11:36:38.041+01:00,30,1721990197.999226,53.38824041479798,-1.483406306853408,69.52412,0.04162138,1.007902,-1,-1,3.264598229146558,4.813204279380005,-9999
2024-07-26T11:36:39.042+01:00,31,1721990198.999214,53.38824254505919,-1.483401854199611,69.53088,0.08035458,1.230439,-1,-1,3.255723666508174,4.819211599434849,-9999
2024-07-26T11:36:40.036+01:00,32,1721990199.999201,53.38824321311161,-1.483414458544939,69.53037,0.6684228,2.028819,276.0318671652183,159.235381562186,3.149592645051895,4.889233396251793,-9999
2024-07-26T11:36:41.037+01:00,33,1721990200.999189,53.38824457015384,-1.483404367626265,69.62479,0.2687466,1.588935,-1,-1,2.917365978606886,5.031253599219178,-9999
2024-07-26T11:36:42.037+01:00,34,1721990201.999176,53.38825274594618,-1.483398368845718,69.59369,0.2419813,1.669323,-1,-1,2.928947406485688,5.024520287831426,-9999
2024-07-26T11:36:43.038+01:00,35,1721990202.999165,53.38821924046074,-1.483416037336345,71.27132,0.5946322,1.552757,204.8697652393901,110.0995369724841,3.177282420506282,4.871284579362057,-9999
2024-07-26T11:36:44.040+01:00,36,1721990203.999152,53.38821383523023,-1.483422765276105,71.26845,0.2053792,0.446231,-1,-1,3.260511013680959,4.815973937061329,-9999
2024-07-26T11:36:45.039+01:00,37,1721990204.99914,53.38823315945334,-1.483398468193374,70.9837,1.109969,1.611121,40.86353643210884,82.2339536085932,3.288309992173174,4.797036004468061,-9999
2024-07-26T11:36:46.042+01:00,38,1721990205.999128,53.38823312478356,-1.483396747874152,70.60352,0.06073561,1.001546,-1,-1,3.297710696983708,4.790578377585327,-9999
2024-07-26T11:36:47.042+01:00,39,1721990206.999116,53.38823228129826,-1.483385576386583,70.3764,0.08130844,1.118018,-1,-1,3.308553894974603,4.783096084842664,-9999
2024-07-26T11:36:48.038+01:00,40,1721990207.999103,53.38823689992746,-1.483388635330363,70.37567,0.197633,0.9484767,-1,-1,3.318725775193221,4.776043997060432,-9999
2024-07-26T11:36:49.033+01:00,41,1721990208.999091,53.38823807010103,-1.483390386210271,70.38551,0.1386037,0.6770292,-1,-1,3.322818090115933,4.773197772226407,-9999
2024-07-26T11:36:50.034+01:00,42,1721990209.999078,53.38823550027327,-1.48338889569287,70.21027,0.09065586,1.039568,-1,-1,3.316269236491602,4.777750033633849,-9999
2024-07-26T11:36:51.035+01:00,43,1721990210.999066,53.38821598201235,-1.483403665298057,70.1898,1.356772,1.839479,206.40532415713,66.75364360912099,3.303586426658498,4.786528361389554,-9999
2024-07-26T11:36:52.040+01:00,44,1721990211.999055,53.38821244395838,-1.48341524267501,70.04916,1.114441,1.506477,209.0817071310543,70.01689403736597,3.322733049263484,4.773256971515468,-9999
2024-07-26T11:36:53.040+01:00,45,1721990212.999042,53.38819828350891,-1.483421504089651,69.9879,1.276644,1.51581,208.0207505499442,61.0448540338557,3.326674368494207,4.77051094525445,-9999
2024-07-26T11:36:54.041+01:00,46,1721990213.999031,53.38818296316675,-1.483429988280611,69.94947,1.330984,1.657086,208.3327882277119,64.33530005373778,3.324116009626616,4.77229397536791,-9999
2024-07-26T11:36:55.036+01:00,47,1721990214.999018,53.38816984277125,-1.483441446850084,70.08669,1.34445,1.509778,209.5517114008489,58.6499299673802,3.331292357994016,4.767287306043082,-9999
2024-07-26T11:36:56.040+01:00,48,1721990215.999006,53.38815660141554,-1.483456393550783,70.13794,1.372899,1.651118,209.5420248704547,62.78794242667626,3.326022337761334,4.770965567000193,-9999
2024-07-26T11:36:57.043+01:00,49,1721990216.998994,53.38814780157958,-1.483460889106794,69.70936,1.412316,1.539485,204.096082428411,53.86481398012114,3.326687306016456,4.770501923359618,-9999
2024-07-26T11:36:58.041+01:00,50,1721990217.998981,53.38813165567251,-1.483479050758189,69.79552,1.591955,1.657974,208.4897746207383,53.91593335548769,3.31879637534218,4.775994938419056,-9999
2024-07-26T11:36:59.040+01:00,51,1721990218.998969,53.38811306243313,-1.483485253159059,70.15482,1.578111,1.693341,203.422507615881,52.4784961402464,3.316276123763401,4.777745253123657,-9999
2024-07-26T11:37:00.033+01:00,52,1721990219.998957,53.38810368775773,-1.483492201519652,70.01258,1.570302,1.517816,207.687724710928,49.61119172646018,3.319934336070983,4.775203978571571,-9999
2024-07-26T11:37:01.041+01:00,53,1721990220.998944,53.3880941529018,-1.483504324385627,70.10242,1.505576,1.514844,212.5838502838431,54.03143867655474,3.32160145157905,4.774044493891608,-9999
2024-07-26T11:37:02.038+01:00,54,1721990221.998933,53.38807592914605,-1.483488075565665,69.92307,1.965183,2.080565,173.8342710202284,43.45068305421591,3.281486954477759,4.801705988540023,-9999
2024-07-26T11:37:03.043+01:00,55,1721990222.99892,53.38807201136845,-1.483527562509754,69.64394,1.939665,1.615736,223.8793565250288,47.13553850136556,3.301515669892165,4.787956903967007,-9999
