

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -55 [da:ee:aa:ff:13:5a]

RSSI: -64 [da:ee:aa:ff:15:fb]

RSSI: -73 [da:ee:aa:ff:16:1b]

RSSI: -79 [da:ee:aa:ff:0d:2c]

RSSI: -75 [da:ee:aa:ff:16:3b]

RSSI: -50 [da:ee:aa:ff:13:7a]

RSSI: -53 [da:ee:aa:ff:13:8a]

RSSI: -75 [da:ee:aa:ff:16:4b]

RSSI: -80 [da:ee:aa:ff:0d:5c]

RSSI: -80 [da:ee:aa:ff:0d:7c]

RSSI: -80 [da:ee:aa:ff:0d:7c]

RSSI: -55 [da:ee:aa:ff:13:aa]

RSSI: -79 [da:ee:aa:ff:0d:7c]

RSSI: -79 [da:ee:aa:ff:0d:7c]

RSSI: -80 [da:ee:aa:ff:0d:7c]

RSSI: -73 [da:ee:aa:ff:00:1b]

RSSI: -79 [da:ee:aa:ff:0d:9c]

RSSI: -73 [da:ee:aa:ff:00:1b]

RSSI: -79 [da:ee:aa:ff:0d:9c]

RSSI: -73 [da:ee:aa:ff:00:1b]

RSSI: -80 [da:ee:aa:ff:0d:9c]

RSSI: -73 [da:ee:aa:ff:00:1b]

RSSI: -79 [da:ee:aa:ff:0d:9c]

RSSI: -54 [da:ee:aa:ff:13:da]

RSSI: -73 [da:ee:aa:ff:00:1b]

RSSI: -79 [da:ee:aa:ff:0d:9c]

RSSI: -53 [da:ee:aa:ff:13:ea]

RSSI: -74 [da:ee:aa:ff:00:3b]

RSSI: -53 [da:ee:aa:ff:13:ea]

RSSI: -80 [da:ee:aa:ff:0d:bc]

RSSI: -53 [da:ee:aa:ff:13:ea]

RSSI: -75 [da:ee:aa:ff:00:5b]

RSSI: -53 [da:ee:aa:ff:13:ea]

RSSI: -74 [da:ee:aa:ff:00:5b]

RSSI: -74 [da:ee:aa:ff:00:5b]

RSSI: -74 [da:ee:aa:ff:00:6b]

RSSI: -80 [da:ee:aa:ff:0d:ec]

RSSI: -55 [da:ee:aa:ff:14:1a]

RSSI: -75 [da:ee:aa:ff:00:6b]

RSSI: -55 [da:ee:aa:ff:14:1a]

RSSI: -75 [da:ee:aa:ff:00:6b]

RSSI: -80 [da:ee:aa:ff:0d:ec]

RSSI: -55 [da:ee:aa:ff:14:1a]

RSSI: -75 [da:ee:aa:ff:00:6b]

RSSI: -55 [da:ee:aa:ff:14:1a]

RSSI: -75 [da:ee:aa:ff:00:6b]

RSSI: -80 [da:ee:aa:ff:0d:ec]

RSSI: -55 [da:ee:aa:ff:14:1a]

RSSI: -54 [da:ee:aa:ff:14:2a]

RSSI: -54 [da:ee:aa:ff:14:2a]

RSSI: -56 [da:ee:aa:ff:00:ab]

RSSI: -78 [da:ee:aa:ff:0e:1c]

RSSI: -54 [da:ee:aa:ff:14:2a]

RSSI: -56 [da:ee:aa:ff:00:ab]

RSSI: -72 [da:ee:aa:ff:00:ab]

RSSI: -70 [da:ee:aa:ff:0e:1c]

RSSI: -41 [da:ee:aa:ff:14:4a]

RSSI: -57 [da:ee:aa:ff:00:ab]

RSSI: -53 [da:ee:aa:ff:14:6a]

RSSI: -53 [da:ee:aa:ff:14:6a]

RSSI: -75 [da:ee:aa:ff:01:0b]

RSSI: -80 [da:ee:aa:ff:0e:5c]

RSSI: -55 [da:ee:aa:ff:14:9a]

RSSI: -75 [da:ee:aa:ff:01:0b]

RSSI: -80 [da:ee:aa:ff:0e:5c]

RSSI: -55 [da:ee:aa:ff:14:9a]

RSSI: -75 [da:ee:aa:ff:01:0b]

RSSI: -80 [da:ee:aa:ff:0e:5c]

RSSI: -55 [da:ee:aa:ff:14:9a]

RSSI: -75 [da:ee:aa:ff:01:0b]

RSSI: -80 [da:ee:aa:ff:0e:5c]

RSSI: -55 [da:ee:aa:ff:14:9a]

RSSI: -75 [da:ee:aa:ff:01:0b]

RSSI: -73 [da:ee:aa:ff:01:1b]

RSSI: -54 [da:ee:aa:ff:14:aa]

RSSI: -73 [da:ee:aa:ff:01:1b]

RSSI: -54 [da:ee:aa:ff:14:aa]

RSSI: -73 [da:ee:aa:ff:01:1b]

RSSI: -54 [da:ee:aa:ff:14:aa]

RSSI: -73 [da:ee:aa:ff:01:1b]

RSSI: -79 [da:ee:aa:ff:0e:8c]

